State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Odisha,JAJAPUR,Dry chillies,2003-04,Whole Year,2530.0,Hectare,2120.0,Tonnes,0.8379446640316206
Odisha,JHARSUGUDA,Dry chillies,2001-02,Whole Year,1890.0,Hectare,1470.0,Tonnes,0.7777777777777778
Odisha,JHARSUGUDA,Dry chillies,2002-03,Whole Year,1090.0,Hectare,910.0,Tonnes,0.8348623853211009
Odisha,JHARSUGUDA,Dry chillies,2003-04,Whole Year,1190.0,Hectare,1020.0,Tonnes,0.8571428571428571
Odisha,KALAHANDI,Dry chillies,2001-02,Whole Year,1670.0,Hectare,1300.0,Tonnes,0.7784431137724551
Odisha,KALAHANDI,Dry chillies,2002-03,Whole Year,1690.0,Hectare,1320.0,Tonnes,0.7810650887573964
Odisha,KALAHANDI,Dry chillies,2003-04,Whole Year,1860.0,Hectare,1450.0,Tonnes,0.7795698924731183
Odisha,KANDHAMAL,Dry chillies,2001-02,Whole Year,2060.0,Hectare,1650.0,Tonnes,0.8009708737864077
Odisha,KANDHAMAL,Dry chillies,2002-03,Whole Year,1110.0,Hectare,790.0,Tonnes,0.7117117117117117
Odisha,KANDHAMAL,Dry chillies,2003-04,Whole Year,1830.0,Hectare,1370.0,Tonnes,0.7486338797814208
Odisha,KENDRAPARA,Dry chillies,2001-02,Whole Year,860.0,Hectare,730.0,Tonnes,0.8488372093023255
Odisha,KENDRAPARA,Dry chillies,2002-03,Whole Year,4240.0,Hectare,3600.0,Tonnes,0.8490566037735849
Odisha,KENDRAPARA,Dry chillies,2003-04,Whole Year,4290.0,Hectare,3640.0,Tonnes,0.8484848484848485
Odisha,KENDUJHAR,Dry chillies,2001-02,Whole Year,2820.0,Hectare,2470.0,Tonnes,0.875886524822695
Odisha,KENDUJHAR,Dry chillies,2002-03,Whole Year,3130.0,Hectare,2740.0,Tonnes,0.8753993610223643
Odisha,KENDUJHAR,Dry chillies,2003-04,Whole Year,4380.0,Hectare,3830.0,Tonnes,0.8744292237442922
Odisha,KHORDHA,Dry chillies,2001-02,Whole Year,410.0,Hectare,350.0,Tonnes,0.8536585365853658
Odisha,KHORDHA,Dry chillies,2002-03,Whole Year,750.0,Hectare,640.0,Tonnes,0.8533333333333334
Odisha,KHORDHA,Dry chillies,2003-04,Whole Year,550.0,Hectare,470.0,Tonnes,0.8545454545454545
Odisha,KORAPUT,Dry chillies,2001-02,Whole Year,4970.0,Hectare,4370.0,Tonnes,0.8792756539235412
Odisha,KORAPUT,Dry chillies,2002-03,Whole Year,4900.0,Hectare,3870.0,Tonnes,0.789795918367347
Odisha,KORAPUT,Dry chillies,2003-04,Whole Year,4060.0,Hectare,3210.0,Tonnes,0.7906403940886699
Odisha,MALKANGIRI,Dry chillies,2001-02,Whole Year,2610.0,Hectare,2220.0,Tonnes,0.8505747126436781
Odisha,MALKANGIRI,Dry chillies,2002-03,Whole Year,2500.0,Hectare,2150.0,Tonnes,0.86
Odisha,MALKANGIRI,Dry chillies,2003-04,Whole Year,1800.0,Hectare,1550.0,Tonnes,0.8611111111111112
Odisha,MAYURBHANJ,Dry chillies,2001-02,Whole Year,4220.0,Hectare,3720.0,Tonnes,0.8815165876777251
Odisha,MAYURBHANJ,Dry chillies,2002-03,Whole Year,800.0,Hectare,700.0,Tonnes,0.875
Odisha,MAYURBHANJ,Dry chillies,2003-04,Whole Year,1080.0,Hectare,950.0,Tonnes,0.8796296296296297
Odisha,NABARANGPUR,Dry chillies,2001-02,Whole Year,1910.0,Hectare,1680.0,Tonnes,0.8795811518324608
Odisha,NABARANGPUR,Dry chillies,2002-03,Whole Year,1260.0,Hectare,1070.0,Tonnes,0.8492063492063492
Odisha,NABARANGPUR,Dry chillies,2003-04,Whole Year,1970.0,Hectare,1670.0,Tonnes,0.8477157360406091
Odisha,NAYAGARH,Dry chillies,2001-02,Whole Year,280.0,Hectare,240.0,Tonnes,0.8571428571428571
Odisha,NAYAGARH,Dry chillies,2002-03,Whole Year,810.0,Hectare,690.0,Tonnes,0.8518518518518519
Odisha,NAYAGARH,Dry chillies,2003-04,Whole Year,510.0,Hectare,430.0,Tonnes,0.8431372549019608
Odisha,NUAPADA,Dry chillies,2001-02,Whole Year,1010.0,Hectare,890.0,Tonnes,0.8811881188118812
Odisha,NUAPADA,Dry chillies,2002-03,Whole Year,2820.0,Hectare,2230.0,Tonnes,0.7907801418439716
Odisha,NUAPADA,Dry chillies,2003-04,Whole Year,2860.0,Hectare,2260.0,Tonnes,0.7902097902097902
Odisha,PURI,Dry chillies,2001-02,Whole Year,240.0,Hectare,210.0,Tonnes,0.875
Odisha,PURI,Dry chillies,2002-03,Whole Year,230.0,Hectare,200.0,Tonnes,0.8695652173913043
Odisha,PURI,Dry chillies,2003-04,Whole Year,250.0,Hectare,210.0,Tonnes,0.84
Odisha,RAYAGADA,Dry chillies,2001-02,Whole Year,3630.0,Hectare,2870.0,Tonnes,0.790633608815427
Odisha,RAYAGADA,Dry chillies,2002-03,Whole Year,3750.0,Hectare,3300.0,Tonnes,0.88
Odisha,RAYAGADA,Dry chillies,2003-04,Whole Year,2120.0,Hectare,1870.0,Tonnes,0.8820754716981132
Odisha,SAMBALPUR,Dry chillies,2001-02,Whole Year,4630.0,Hectare,4080.0,Tonnes,0.8812095032397408
Odisha,SAMBALPUR,Dry chillies,2002-03,Whole Year,4450.0,Hectare,3740.0,Tonnes,0.8404494382022472
Odisha,SAMBALPUR,Dry chillies,2003-04,Whole Year,4670.0,Hectare,4020.0,Tonnes,0.860813704496788
Odisha,SONEPUR,Dry chillies,2001-02,Whole Year,830.0,Hectare,690.0,Tonnes,0.8313253012048193
Odisha,SONEPUR,Dry chillies,2002-03,Whole Year,490.0,Hectare,400.0,Tonnes,0.8163265306122449
Odisha,SONEPUR,Dry chillies,2003-04,Whole Year,410.0,Hectare,340.0,Tonnes,0.8292682926829268
Odisha,SUNDARGARH,Dry chillies,2001-02,Whole Year,2600.0,Hectare,2280.0,Tonnes,0.8769230769230769
Odisha,SUNDARGARH,Dry chillies,2002-03,Whole Year,3000.0,Hectare,2550.0,Tonnes,0.85
Odisha,SUNDARGARH,Dry chillies,2003-04,Whole Year,3200.0,Hectare,2720.0,Tonnes,0.85
Odisha,ANUGUL,Garlic,2001-02,Whole Year,1210.0,Hectare,3840.0,Tonnes,3.173553719008265
Odisha,ANUGUL,Garlic,2002-03,Whole Year,1250.0,Hectare,3960.0,Tonnes,3.168
Odisha,ANUGUL,Garlic,2003-04,Whole Year,1090.0,Hectare,3450.0,Tonnes,3.165137614678899
Odisha,BALANGIR,Garlic,2001-02,Whole Year,240.0,Hectare,760.0,Tonnes,3.1666666666666665
Odisha,BALANGIR,Garlic,2002-03,Whole Year,210.0,Hectare,660.0,Tonnes,3.142857142857143
Odisha,BALANGIR,Garlic,2003-04,Whole Year,230.0,Hectare,750.0,Tonnes,3.260869565217391
Odisha,BALESHWAR,Garlic,2001-02,Whole Year,360.0,Hectare,1140.0,Tonnes,3.1666666666666665
Odisha,BALESHWAR,Garlic,2002-03,Whole Year,310.0,Hectare,980.0,Tonnes,3.161290322580645
Odisha,BALESHWAR,Garlic,2003-04,Whole Year,470.0,Hectare,1500.0,Tonnes,3.191489361702128
Odisha,BARGARH,Garlic,2001-02,Whole Year,140.0,Hectare,440.0,Tonnes,3.142857142857143
Odisha,BARGARH,Garlic,2002-03,Whole Year,220.0,Hectare,690.0,Tonnes,3.136363636363636
Odisha,BARGARH,Garlic,2003-04,Whole Year,330.0,Hectare,1040.0,Tonnes,3.1515151515151514
Odisha,BHADRAK,Garlic,2001-02,Whole Year,170.0,Hectare,530.0,Tonnes,3.117647058823529
Odisha,BHADRAK,Garlic,2002-03,Whole Year,150.0,Hectare,470.0,Tonnes,3.1333333333333333
Odisha,BHADRAK,Garlic,2003-04,Whole Year,390.0,Hectare,1220.0,Tonnes,3.128205128205128
Odisha,BOUDH,Garlic,2001-02,Whole Year,130.0,Hectare,410.0,Tonnes,3.1538461538461537
Odisha,BOUDH,Garlic,2002-03,Whole Year,200.0,Hectare,640.0,Tonnes,3.2
Odisha,BOUDH,Garlic,2003-04,Whole Year,240.0,Hectare,760.0,Tonnes,3.1666666666666665
Odisha,CUTTACK,Garlic,2001-02,Whole Year,660.0,Hectare,2090.0,Tonnes,3.1666666666666665
Odisha,CUTTACK,Garlic,2002-03,Whole Year,730.0,Hectare,2310.0,Tonnes,3.164383561643836
Odisha,CUTTACK,Garlic,2003-04,Whole Year,960.0,Hectare,3050.0,Tonnes,3.177083333333333
Odisha,DEOGARH,Garlic,2001-02,Whole Year,170.0,Hectare,530.0,Tonnes,3.117647058823529
Odisha,DEOGARH,Garlic,2002-03,Whole Year,150.0,Hectare,470.0,Tonnes,3.1333333333333333
Odisha,DEOGARH,Garlic,2003-04,Whole Year,170.0,Hectare,530.0,Tonnes,3.117647058823529
Odisha,DHENKANAL,Garlic,2001-02,Whole Year,680.0,Hectare,2140.0,Tonnes,3.147058823529412
Odisha,DHENKANAL,Garlic,2002-03,Whole Year,550.0,Hectare,1730.0,Tonnes,3.145454545454545
Odisha,DHENKANAL,Garlic,2003-04,Whole Year,550.0,Hectare,1720.0,Tonnes,3.1272727272727274
Odisha,GAJAPATI,Garlic,2001-02,Whole Year,70.0,Hectare,220.0,Tonnes,3.142857142857143
Odisha,GAJAPATI,Garlic,2002-03,Whole Year,50.0,Hectare,160.0,Tonnes,3.2
Odisha,GAJAPATI,Garlic,2003-04,Whole Year,80.0,Hectare,240.0,Tonnes,3.0
Odisha,GANJAM,Garlic,2001-02,Whole Year,190.0,Hectare,610.0,Tonnes,3.210526315789474
